"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"2169",1536760958098,51.4958608,-0.1300762,16,2018-09-12 15:02:38
"2170",1536761065394,51.4958618,-0.1300722,16,2018-09-12 15:04:25
"2182",1536761334590,51.4958618,-0.1300722,16,2018-09-12 15:08:54
"2183",1536761394542,51.4958618,-0.1300722,16,2018-09-12 15:09:54
"2184",1536761697712,51.4958649,-0.1300733,16,2018-09-12 15:14:57
"2185",1536761725281,51.4958582,-0.1300705,14,2018-09-12 15:15:25
"2186",1536762121101,51.4958582,-0.1300705,14,2018-09-12 15:22:01
"2187",1536762482876,51.4958645,-0.1300805,16,2018-09-12 15:28:02
"2188",1536762843032,51.4958645,-0.1300805,16,2018-09-12 15:34:03
"2189",1536763206183,51.4958589,-0.1300761,16,2018-09-12 15:40:06
"2190",1536763567188,51.4958567,-0.1300708,15,2018-09-12 15:46:07
"2191",1536763929105,51.4958567,-0.1300708,15,2018-09-12 15:52:09
"2215",1536764320485,51.4958808,-0.1300628,16,2018-09-12 15:58:40
"2216",1536764342241,51.4958808,-0.1300628,16,2018-09-12 15:59:02
"2217",1536764703160,51.4958594,-0.1300743,15,2018-09-12 16:05:03
"2218",1536764906309,51.49586,-0.1300493,15,2018-09-12 16:08:26
"2230",1536765067334,51.4958704,-0.1299932,15,2018-09-12 16:11:07
"2231",1536765120270,51.4958704,-0.1299932,15,2018-09-12 16:12:00
"2232",1536765186818,51.4958703,-0.1299845,15,2018-09-12 16:13:06
"2233",1536765463086,51.4958579,-0.1300711,15,2018-09-12 16:17:43
"2244",1536765702609,51.4958559,-0.13007,16,2018-09-12 16:21:42
"2245",1536765726658,51.4958582,-0.1300693,15,2018-09-12 16:22:06
"2246",1536765762704,51.4958587,-0.1300697,16,2018-09-12 16:22:42
"2258",1536766003140,51.4958587,-0.1300697,16,2018-09-12 16:26:43
"2259",1536766082914,51.4958575,-0.1300713,16,2018-09-12 16:28:02
"2270",1536766203007,51.4958575,-0.1300713,16,2018-09-12 16:30:03
"2271",1536766406940,51.4958563,-0.1300722,15,2018-09-12 16:33:26
"2274",1536767684175,51.4958572,-0.1300751,15,2018-09-12 16:54:44
"2275",1536768100357,51.495844,-0.1300731,14,2018-09-12 17:01:40
"2310",1536768912098,51.4998893,-0.1288091,35,2018-09-12 17:15:12
"2318",1536769286922,51.501191,-0.124935,34,2018-09-12 17:21:26
